id,type,label,detection_terms
IT_TAXPAYER,ProtectedInfoType,Nodokļu maksātāju ziņas,nodokļu maksāt; valsts ieņēmumu dienest;  vid ; /iestāde a/; sistēma a; eds; nodokļu informācijas sistēm; nodokļu deklarāc; mikrouzņēmumu; nodokļu katedras; iesniegums valsts ieņēmumu dienestam
IT_CRIMPROC,ProtectedInfoType,Kriminālprocesa ziņas,aizturēšan; saukšanu pie kriminālatbildības; drošības līdzek; izsludināšanu meklēšan; kriminālprocesa uzsāk; procesuālās darbības; izmeklēšanas noslēp; pret personu ir uzsākts kriminālprocess
IT_CONVICTIONS,ProtectedInfoType,Ziņas par personas sodāmību,sodāmīb; sodu reģistr; iepriekš tiesāta; notiesāta; spriedums stājies spēkā
IT_PERSONAL_DATA,ProtectedInfoType,Fiziskas personas dati,deklarētā adres; personas statuss; valstiskā piederība; mainītie personas dati; personas kod; dzimšanas dati; dzimšanas gad
IT_PRIVATE_LIFE,ProtectedInfoType,Ziņas par privāto dzīvi/laulību,laulīb; privāto dzīvi; ģimenes dzīvi; trešās valsts pilson
IT_CASE_MATERIALS,ProtectedInfoType,Krimināllietas materiāli/fototabulas,fototabul; krimināllietas materiāl; fotoattēl; lietas materiāl; krimināllietas materiālos
IT_COURT_RULINGS,ProtectedInfoType,Tiesu nolēmumi/neanonimizēti dokumenti,tiesu nolēmum; neanonimiz; slēgtā proces; tisu informācijas sistēmas; tiesu informācijas sistēmas
IT_VEHICLE_OWNER,ProtectedInfoType,Transportlīdzekļa īpašnieka/apskates dati,automašīn; transportlīdzek; csdd; tehniskajā apskat; īpašniek; virsbūves; modelis
IT_BORDER_CUSTOMS,ProtectedInfoType,"Robežkontroles, muitas un izceļošanas ziņas",robežkontroles; robežsarg; muitas; vilcien; izsēdinā; prāmju pasažier; pasažieru sarakst; izceļoš
IT_OPERATIONAL,ProtectedInfoType,Operatīvās darbības ziņas,operatīvās darbības pasākum; operatīvās izstrādes; tiesībaizsardzības iestāžu rīcībā ir ziņas; iespējamo prettiesisko rīcību
