file,date,court,case,skk,ecli,outcome,source_context,evidence,sentence_mentions,mentions_329,duplicate_note
Anonimizets_nolemums_100515784.pdf,2025. gada 13. martā,"Zemgales rajona tiesa,",58500000624,SKK – 256/2020,ECLI:LV:ZRT:2025:0313.58500000624.1.S,notiesājošs / vainīgs; kriminālprocess izbeigts minēts,VID sistēma; Kriminālprocess/izmeklēšanas noslēpums; zemesgrāmata/kadastrs; policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; SMS/īsziņas; WhatsApp; Messenger/Facebook; e-pasts; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, sabiedrisk, naudas sod",24,
Anonimizets_nolemums_101962192.pdf,2025. gada 4. jūnijā,Tiesas sēdes priekšsēdētāja tiesnese Karīna Kazārova,16870003222,,ECLI:LV:RAT:2025:0604.16870003222.2.S,notiesājošs / vainīgs; attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,TIS; VID sistēma; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; SMS/īsziņas; WhatsApp; e-pasts; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, sabiedrisk",2,
Anonimizets_nolemums_336567.pdf,2017.gada 15.novembrī,"atklātā tiesas sēdē iztiesāja krimināllietu, kurā",11905007317,,ECLI:LV:JERT:2017:1115.11905007317.1.S,,policijas sistēmas,amatpersonas dokumenti/brīdinājums,,3,
Anonimizets_nolemums_373905.pdf,2019.gada 24.janvārī,Latvijas Republikas Senāts,"12812001716, SKK–8/2019",SKK–8/2019,ECLI:LV:AT:2019:0124.12812001716.3.L,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai,TIS; VID sistēma; Sodu reģistrs; Kriminālprocess/izmeklēšanas noslēpums,operatīvā noklausīšanās; SMS/īsziņas; sistēmu auditācijas dati; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, sabiedrisk, naudas sod",14,
Anonimizets_nolemums_376887.pdf,2018.gada 28.augustā,,11860000117,,,notiesājošs / vainīgs; atcelts/nodots jaunai izskatīšanai,policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; sistēmu auditācijas dati; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,naudas sod,11,
Anonimizets_nolemums_381397.pdf,2019.gada 25.aprīlī,Latvijas Republikas Senāts,"11860000217, SKK-25/2019",SKK-25/2019,ECLI:LV:AT:2019:0425.11860000217.3.L,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai,VID sistēma; policijas sistēmas,telefonsarunas / zvani; liecinieki; amatpersonas dokumenti/brīdinājums,naudas sod,13,
Anonimizets_nolemums_386884.pdf,2019.gada 15.aprīlī,Augstākā tiesa,,,ECLI:LV:RVPT:2019:0415.11860006916.2.S,notiesājošs / vainīgs; atstāts negrozīts,VID sistēma; Iedzīvotāju reģistrs/PMLP; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,telefonsarunas / zvani; SMS/īsziņas; WhatsApp; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, naudas sod",10,
Anonimizets_nolemums_390034.pdf,2018.gada 19.februārī,"Rīgas pilsētas Vidzemes priekšpilsētas tiesa,",12812001716,,ECLI:LV:RVPT:2018:0219.12812001716.1.S,,TIS; VID sistēma; Sodu reģistrs; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; SMS/īsziņas; e-pasts; sistēmu auditācijas dati; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, naudas sod",10,
Anonimizets_nolemums_392469.pdf,2019. gada 31. janvārī,Pilna sprieduma pieejamības diena tiesas kancelejā – 2019. gada 1. aprīlis.,16870000715,,ECLI:LV:RVPT:2019:0131.16870000715.1.S,attaisnošana minēta,TIS; VID sistēma; zemesgrāmata/kadastrs,e-pasts; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,naudas sod,20,
Anonimizets_nolemums_399224.pdf,2019.gada 30.decembrī,Latvijas Republikas Senāts,"11820001316, SKK-368/2019",SKK-368/2019,ECLI:LV:AT:2019:1230.11820001316.4.L,atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,,liecinieki; amatpersonas dokumenti/brīdinājums,,5,
Anonimizets_nolemums_399289.pdf,2019. gada 6. februārī,"tiesas sēdes priekšsēdētāja tiesnese Inese Laura Zemīte,",,,ECLI:LV:RAT:2019:0206.11820001316.3.S,atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,Kriminālprocess/izmeklēšanas noslēpums,liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,,5,
