table_name,column_name,type,not_null,default,pk
analytics_counts,metric_group,TEXT,0,,1
analytics_counts,metric_name,TEXT,0,,2
analytics_counts,metric_value,INTEGER,0,,0
analytics_counts,rank,INTEGER,0,,0
analytics_counts,source,TEXT,0,,0
case_forensic_tools,case_id,TEXT,0,,1
case_forensic_tools,document_id,TEXT,0,,2
case_forensic_tools,tool_id,TEXT,0,,3
case_forensic_tools,role,TEXT,0,,4
case_systems,case_id,TEXT,0,,1
case_systems,document_id,TEXT,0,,2
case_systems,system_id,TEXT,0,,3
case_systems,role,TEXT,0,,4
case_systems,auditability_note,TEXT,0,,0
case_terms,case_id,TEXT,0,,1
case_terms,document_id,TEXT,0,,2
case_terms,term_id,TEXT,0,,3
case_terms,term_type,TEXT,0,,0
case_terms,relation,TEXT,0,,4
case_terms,source_field,TEXT,0,,0
case_terms,confidence,TEXT,0,,0
cases,case_id,TEXT,0,,1
cases,article_id,TEXT,0,,0
cases,normalized_case_key,TEXT,0,,0
cases,case_no,TEXT,0,,0
cases,skk_no,TEXT,0,,0
cases,ecli,TEXT,0,,0
cases,first_known_date,TEXT,0,,0
cases,court_primary,TEXT,0,,0
cases,instance_primary,TEXT,0,,0
cases,outcome_summary,TEXT,0,,0
cases,primary_information_type_id,TEXT,0,,0
cases,primary_information_type,TEXT,0,,0
cases,primary_disclosure_channel,TEXT,0,,0
cases,confidence,TEXT,0,,0
cases,hash_group,TEXT,0,,0
cases,notes_for_lawyer,TEXT,0,,0
cases,created_at,TEXT,1,,0
communication_channels,channel_id,TEXT,0,,1
communication_channels,case_id,TEXT,0,,0
communication_channels,document_id,TEXT,0,,0
communication_channels,person_from_id,TEXT,0,,0
communication_channels,person_to_id,TEXT,0,,0
communication_channels,channel_type,TEXT,0,,0
communication_channels,content_obtained,INTEGER,0,,0
communication_channels,metadata_obtained,INTEGER,0,,0
communication_channels,used_as_evidence,INTEGER,0,,0
communication_channels,court_assessment,TEXT,0,,0
communication_channels,defence_challenge,TEXT,0,,0
communication_channels,result,TEXT,0,,0
communication_channels,notes,TEXT,0,,0
controlled_terms,term_id,TEXT,0,,1
